time,latitude,longitude,depth,magnitude,place
2024-05-22 19:03:34.828,38.1627,72.9757,129.743,4.3,"86 km W of Murghob, Tajikistan"
2024-05-20 18:31:33.788,41.5898,78.9162,10.0,4.3,"106 km SSE of Ak-Suu, Kyrgyzstan"
2024-05-20 05:10:23.245,40.1777,76.9563,27.994,5.1,"114 km NE of Kashgar, China"
2024-05-15 19:03:31.779,38.9173,70.8947,10.0,4.5,"46 km ESE of Rasht, Tajikistan"
2024-05-11 16:27:37.916,37.3323,71.94,200.67,4.1,"38 km ESE of Khorugh, Tajikistan"
2024-05-10 01:52:20.556,37.2283,74.72,10.0,4.5,"100 km N of Barishal, Pakistan"
2024-05-06 04:12:58.429,42.8331,79.0969,16.058,4.3,"23 km SSW of Kegen, Kazakhstan"
2024-05-01 19:17:24.331,40.9184,78.3255,10.0,4.5,"132 km NNW of Tumxuk, China"
2024-05-01 01:37:50.278,39.4,71.7834,10.0,,"28 km NE of Karakenja, Tajikistan"
2024-04-29 01:13:35.507,38.0039,72.4957,,4.2,"100 km NE of Khorugh, Tajikistan"
2024-04-28 11:31:08.932,41.3954,79.0028,5.417,4.3,"106 km WNW of Aykol, China"
2024-04-28 06:23:54.895,38.2298,72.1636,97.577,4.1,"98 km NNE of Khorugh, Tajikistan"
2024-04-25 09:24:44.454,41.2772,78.4461,,4.4,"123 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-04-23 12:26:36.735,41.2115,78.5948,10.0,4.5,"132 km WNW of Aykol, China"
2024-04-21 13:42:34.356,37.5036,72.1504,203.122,4.0,"52 km E of Khorugh, Tajikistan"
2024-04-21 07:20:10.946,39.5929,74.2601,52.621,4.3,"106 km SE of Gul’cha, Kyrgyzstan"
2024-04-21 03:47:30.089,38.7265,74.8905,56.097,4.0,"101 km NE of Murghob, Tajikistan"
2024-04-18 00:23:36.018,41.3167,78.821,,4.3,"117 km WNW of Aykol, China"
2024-04-14 13:51:00.540,41.2956,78.6481,10.0,4.5,"127 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-04-12 08:13:42.468,41.1619,78.6163,4.251,4.6,"129 km W of Aykol, China"
2024-04-12 05:39:19.568,37.5913,72.3029,189.951,4.0,"67 km E of Khorugh, Tajikistan"
2024-04-10 02:54:35.876,37.6074,71.9951,,4.0,"41 km ENE of Khorugh, Tajikistan"
2024-04-09 08:12:34.131,39.2843,71.6704,10.0,4.4,"13 km ENE of Karakenja, Tajikistan"
2024-04-06 10:26:05.230,39.74,72.1315,10.0,4.1,"21 km NNW of Daroot-Korgon, Kyrgyzstan"
2024-04-04 03:52:38.707,41.3114,78.7696,10.0,4.3,"121 km WNW of Aykol, China"
2024-03-31 00:25:15.149,39.0066,70.8647,10.0,5.0,"42 km E of Rasht, Tajikistan"
2024-03-23 03:45:31.393,41.1972,78.397,10.0,4.4,"131 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-03-23 01:41:15.561,41.2292,78.4348,10.0,4.3,"128 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-03-22 21:03:04.355,41.2138,78.647,10.0,4.1,"128 km WNW of Aykol, China"
2024-03-22 03:47:04.011,39.3279,71.8628,3.161,5.2,"30 km ENE of Karakenja, Tajikistan"
2024-03-18 02:10:38.894,38.5875,70.4189,12.98,4.1,"49 km S of Rasht, Tajikistan"
2024-03-15 02:47:15.842,41.3567,78.3283,10.0,4.4,"112 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-03-14 16:12:32.122,37.5695,71.8274,,4.3,"25 km ENE of Khorugh, Tajikistan"
2024-03-13 06:49:20.443,39.0778,74.4171,10.0,4.2,"108 km NNE of Murghob, Tajikistan"
2024-03-11 13:35:10.905,41.0948,78.4459,4.346,4.4,"142 km W of Aykol, China"
2024-03-09 12:35:43.089,41.2434,78.8037,8.322,,"116 km WNW of Aykol, China"
2024-03-06 17:37:46.115,39.9107,76.5903,10.0,,"71 km NE of Kashgar, China"
2024-03-06 00:09:59.584,41.2949,78.7131,10.0,4.7,"125 km WNW of Aykol, China"
2024-03-04 07:54:31.567,41.1784,78.6057,10.0,4.5,"130 km W of Aykol, China"
2024-03-04 06:45:23.340,41.0319,78.1761,10.0,4.2,"146 km S of Kyzyl-Suu, Kyrgyzstan"
2024-03-04 06:22:07.268,42.8364,76.897,28.268,4.7,"25 km NW of Cholpon-Ata, Kyrgyzstan"
2024-03-03 09:24:29.299,41.1319,78.5586,10.742,,"134 km W of Aykol, China"
